RANK,TEAM,ACTIVE PLAYERS,FORWARDS,MIDFIELDERS,DEFENDERS,GOALKEEPERS,TRANSFER FEES,TOTAL SALARY
1,Manchester United F.C.,26,"£39,520,000","£56,680,000","£37,180,000","£15,600,000","£71,000,000","£148,980,000"
2,Manchester City F.C.,26,"£44,200,000","£50,440,000","£43,026,000","£7,540,000","£62,350,000","£145,206,000"
3,Chelsea F.C.,28,"£10,140,000","£70,162,000","£43,628,000","£11,596,000","£195,360,000","£139,946,000"
4,Arsenal F.C.,28,"£31,307,273","£51,194,000","£37,284,000","£11,960,000","£69,900,000","£131,745,273"
5,Liverpool F.C.,26,"£38,480,000","£46,800,000","£29,900,000","£7,800,000","£176,587,250","£122,980,000"
6,Tottenham Hotspur F.C.,23,"£23,348,000","£30,680,000","£23,998,000","£8,320,000",£0,"£86,346,000"
7,West Ham United F.C.,26,"£22,100,000","£34,476,000","£22,464,000","£5,980,000","£87,900,000","£85,020,000"
8,Everton F.C.,28,"£18,096,000","£31,176,000","£27,300,000","£6,760,000","£88,870,000","£83,332,000"
9,Leicester City,28,"£15,860,000","£26,312,000","£28,340,000","£8,996,000","£91,500,000","£79,508,000"
10,Southampton F.C.,24,"£23,140,000","£17,420,000","£21,216,000","£8,320,000","£55,300,000","£70,096,000"
11,Crystal Palace,25,"£20,020,000","£18,356,000","£25,012,000","£6,500,000","£9,500,000","£69,888,000"
12,Watford,23,"£13,520,000","£14,040,000","£15,812,000","£3,380,000","£17,800,000","£46,752,000"
13,Burnley F.C.,25,"£9,620,000","£11,128,000","£15,296,000","£7,036,000","£29,700,000","£43,080,000"
14,Newcastle United F.C.,23,"£10,088,000","£12,844,000","£15,392,000","£4,732,000","£23,230,000","£43,056,000"
15,AFC Bournemouth,25,"£8,580,000","£13,260,000","£15,024,000","£5,720,000","£61,500,000","£42,584,000"
16,Fulham F.C.,24,"£12,454,000","£11,854,000","£11,070,800","£6,500,000","£83,950,000","£41,878,800"
17,Wolverhampton Wanderers F.C.,24,"£8,652,000","£13,230,000","£10,295,000","£7,176,000","£65,160,000","£39,353,000"
18,Brighton & Hove Albion,24,"£12,740,000","£11,960,000","£10,674,000","£3,486,666","£52,810,000","£38,860,666"
19,Huddersfield Town,25,"£9,219,600","£10,452,000","£10,712,000","£650,000","£38,870,000","£31,033,600"
20,Cardiff City F.C.,24,"£7,095,666","£6,565,000","£9,384,500","£3,120,000","£27,500,000","£26,165,166"
