Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,37,28,5,4,94,32,62,89,2.41,77.1,30.9,46.2,1.25,"W
 W
 W
 W
 D","53,249",Erling Haaland - 36,Ederson,
2,Arsenal,37,25,6,6,83,43,40,81,2.19,69.1,41.5,27.6,0.74,"L
 W
 W
 L
 L","60,196","Martin Ødegaard, Martinelli - 15",Aaron Ramsdale,
3,Manchester Utd,37,22,6,9,56,42,14,72,1.95,64.8,48.6,16.2,0.44,"L
 L
 W
 W
 W","73,682",Marcus Rashford - 17,David de Gea,
4,Newcastle Utd,37,19,13,5,67,32,35,70,1.89,70.2,37.4,32.9,0.89,"W
 L
 D
 W
 D","52,127",Callum Wilson - 18,Nick Pope,
5,Liverpool,37,19,9,9,71,43,28,66,1.78,68.6,49.1,19.5,0.53,"W
 W
 W
 W
 D","53,163",Mohamed Salah - 19,Alisson,
6,Brighton,37,18,8,11,71,51,20,62,1.68,71.9,47.3,24.6,0.67,"L
 W
 L
 W
 D","31,477",Alexis Mac Allister - 10,Robert Sánchez,
7,Aston Villa,37,17,7,13,49,45,4,58,1.57,47.4,51.1,-3.7,-0.1,"W
 L
 L
 W
 D","41,679",Ollie Watkins - 14,Emiliano Martínez,
8,Tottenham,37,17,6,14,66,62,4,57,1.54,54.9,48.2,6.7,0.18,"D
 L
 W
 L
 L","61,585",Harry Kane - 28,Hugo Lloris,
9,Brentford,37,14,14,9,57,46,11,56,1.51,55.5,48.3,7.2,0.19,"W
 W
 L
 W
 W","17,075",Ivan Toney - 20,David Raya,
10,Fulham,37,15,7,15,54,51,3,52,1.41,44.4,60.9,-16.5,-0.45,"L
 L
 W
 W
 D","23,746",Aleksandar Mitrović - 14,Bernd Leno,
11,Crystal Palace,37,11,11,15,39,48,-9,44,1.19,37.9,47.6,-9.7,-0.26,"L
 W
 L
 W
 D","24,938",Eberechi Eze - 10,Vicente Guaita,
12,Chelsea,37,11,10,16,37,46,-9,43,1.16,47.2,50.8,-3.5,-0.1,"L
 W
 D
 L
 L","39,995",Kai Havertz - 7,Kepa Arrizabalaga,
13,Wolves,37,11,8,18,31,53,-22,41,1.11,36.4,57.1,-20.7,-0.56,"W
 L
 W
 L
 D","31,482","Rúben Neves, Daniel Podence - 6",José Sá,
14,West Ham,37,11,7,19,41,53,-12,40,1.08,47.8,51.6,-3.8,-0.1,"L
 L
 W
 L
 W","62,462","Saïd Benrahma, Jarrod Bowen - 6",Łukasz Fabiański,
15,Bournemouth,37,11,6,20,37,70,-33,39,1.05,38.1,62.8,-24.7,-0.67,"W
 W
 L
 L
 L","10,362",Philip Billing - 7,Neto,
16,Nott'ham Forest,37,9,10,18,37,67,-30,37,1,38.8,62.8,-24,-0.65,"W
 L
 W
 D
 W","29,188",Taiwo Awoniyi - 9,Dean Henderson,
17,Everton,37,7,12,18,33,57,-24,33,0.89,44.1,65.2,-21.1,-0.57,"L
 D
 W
 L
 D","39,245",Dwight McNeil - 7,Jordan Pickford,
18,Leicester City,37,8,7,22,49,67,-18,31,0.84,49.2,62,-12.8,-0.35,"D
 D
 L
 L
 D","31,871",Harvey Barnes - 12,Danny Ward,
19,Leeds United,37,7,10,20,47,74,-27,31,0.84,45.9,65,-19.1,-0.52,"D
 L
 L
 D
 L","36,549",Rodrigo - 13,Illan Meslier,
20,Southampton,37,6,6,25,32,69,-37,24,0.65,35.9,57,-21.1,-0.57,"L
 L
 L
 L
 L","30,402",James Ward-Prowse - 8,Gavin Bazunu,
