,team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
,Los Angeles Dodgers,team roster,NL,West,"285,508,333",111,51,.685,1,1,1,"241,372,403",David Price (10)
,New York Mets,team roster,NL,East,"255,919,999",101,61,.623,2,2,4,"186,001,814",Max Scherzer (1)
,New York Yankees,team roster,AL,East,"240,290,714",99,63,.611,1,2,5,"201,074,956",Gerrit Cole (2)
,Philadelphia Phillies,team roster,NL,East,"221,738,462",87,75,.537,3,6,11,"174,808,832",Bryce Harper (18)
,San Diego Padres,team roster,NL,West,"202,172,618",89,73,.549,2,5,10,"175,713,986",Manny Machado (13)
,Boston Red Sox,team roster,AL,East,"201,616,000",78,84,.481,5,9,18,"179,540,260",Chris Sale (13)
,Chicago White Sox,team roster,AL,Central,"190,760,734",81,81,.500,2,8,16,"127,148,334",Lance Lynn (51)
,Los Angeles Angels,team roster,AL,West,"187,613,094",73,89,.451,3,11,21,"180,609,676",Anthony Rendon (2)
,Atlanta Braves,team roster,NL,East,"175,335,000",101,61,.623,1,3,3,"132,458,375",Charlie Morton (39)
,Houston Astros,team roster,AL,West,"171,639,599",106,56,.654,1,1,2,"176,495,417",Jose Altuve (18)
,Toronto Blue Jays,team roster,AL,East,"164,470,905",92,70,.568,2,3,8,"139,646,569",George Springer (16)
,St. Louis Cardinals,team roster,NL,Central,"150,746,666",93,69,.574,1,4,6,"164,972,833",Nolan Arenado (6)
,San Francisco Giants,team roster,NL,West,"142,292,500",81,81,.500,3,8,15,"149,937,613",Carlos Rodon (32)
,Chicago Cubs,team roster,NL,Central,"141,810,000",74,88,.457,3,10,20,"156,481,585",Marcus Stroman (22)
,Colorado Rockies,team roster,NL,West,"137,852,166",68,94,.420,5,12,23,"110,309,500",Charlie Blackmon (33)
,Texas Rangers,team roster,AL,West,"134,961,333",68,94,.420,4,12,24,"97,796,971",Corey Seager (9)
,Minnesota Twins,team roster,AL,Central,"130,984,524",78,84,.481,3,10,17,"125,153,166",Carlos Correa (5)
,Detroit Tigers,team roster,AL,Central,"128,640,000",66,96,.407,4,13,25,"80,866,200",Miguel Cabrera (10)
,Milwaukee Brewers,team roster,NL,Central,"128,581,128",86,76,.531,2,7,13,"93,818,038",Christian Yelich (18)
,Washington Nationals,team roster,NL,East,"114,623,095",55,107,.340,5,15,30,"179,557,685",Stephen Strasburg (6)
,Cincinnati Reds,team roster,NL,Central,"113,580,000",62,100,.383,4,14,27,"123,575,488",Joey Votto (22)
,Seattle Mariners,team roster,AL,West,"92,745,714",90,72,.556,2,5,9,"83,603,100",Robbie Ray (33)
,Kansas City Royals,team roster,AL,Central,"84,610,000",65,97,.401,5,14,26,"89,496,700",Salvador Perez (54)
,Miami Marlins,team roster,NL,East,"79,500,000",69,93,.426,4,11,22,"57,481,750",Avisail Garcia (96)
,Arizona Diamondbacks,team roster,NL,West,"77,393,333",74,88,.457,4,9,19,"94,394,792",Madison Bumgarner (28)
,Tampa Bay Rays,team roster,AL,East,"75,347,813",86,76,.531,3,6,12,"66,820,709",Kevin Kiermaier (96)
,Cleveland Guardians,team roster,AL,Central,"57,710,000",92,70,.568,1,4,7,"51,269,100",Jose Ramirez (96)
,Baltimore Orioles,team roster,AL,East,"41,421,166",83,79,.512,4,7,14,"56,158,500",Trey Mancini (164)
,Pittsburgh Pirates,team roster,NL,Central,"38,575,000",62,100,.383,5,13,28,"45,599,000",Roberto Perez (240)
,Oakland Athletics,team roster,AL,West,"32,548,334",60,102,.370,5,15,29,"82,983,674",Stephen Piscotty (175)
