Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NY Red Bulls,34,16,9,9,61,44,17,57,1.68,"20,620",Bradley Wright-Phillips - 24,Luis Robles,→ Conference Semifinals
2,NYCFC,34,15,9,10,62,57,5,54,1.59,"27,196",David Villa - 23,Josh Saunders,→ Conference Semifinals
3,Toronto FC,34,14,11,9,51,39,12,53,1.56,"26,583",Sebastian Giovinco - 17,Clint Irwin,→ Knockout round
4,D.C. United,34,11,13,10,53,47,6,46,1.35,"17,081",Lamar Neagle - 9,Bill Hamid,→ Knockout round
5,Montreal Impact,34,11,12,11,49,53,-4,45,1.32,"20,669",Ignacio Piatti - 17,Evan Bush,→ Knockout round
6,Philadelphia,34,11,9,14,52,55,-3,42,1.24,"17,519",Chris Pontius - 12,Andre Blake,→ Knockout round
7,New England,34,11,9,14,44,54,-10,42,1.24,"20,185","Kei Kamara, Juan Agudelo - 7",Bobby Shuttleworth,
8,Orlando City,34,9,14,11,55,60,-5,41,1.21,"31,324",Cyle Larin - 14,Joe Bendik,
9,Columbus Crew,34,8,12,14,50,58,-8,36,1.06,"17,125",Ola Kamara - 16,Steve Clark,
10,Chicago Fire,34,7,10,17,42,58,-16,31,0.91,"15,602",David Accam - 9,Sean Johnson,
1,FC Dallas,34,17,9,8,50,40,10,60,1.76,"14,094","Maximiliano Urruti, Michael Barrios - 9",Chris Seitz,→ Conference Semifinals
2,Colorado Rapids,34,15,13,6,39,32,7,58,1.71,"16,278",Shkëlzen Gashi - 9,"Tim Howard, Zac MacMath",→ Conference Semifinals
3,LA Galaxy,34,12,16,6,54,39,15,52,1.53,"25,147",Giovani dos Santos - 14,Brian Rowe,→ Knockout round
4,Seattle,34,14,6,14,44,43,1,48,1.41,"42,636",Jordan Morris - 12,Stefan Frei,→ Knockout round
5,Sporting KC,34,13,8,13,42,41,1,47,1.38,"19,549",Dom Dwyer - 16,Tim Melia,→ Knockout round
6,Real Salt Lake,34,12,10,12,44,46,-2,46,1.35,"19,759","Joao Plata, Yura Movsisyan - 9",Nick Rimando,→ Knockout round
7,Portland Timbers,34,12,8,14,48,53,-5,44,1.29,"21,144",Fanendo Adi - 16,Jake Gleeson,
8,Vancouver,34,10,9,15,45,52,-7,39,1.15,"22,330",Pedro Morales - 9,David Ousted,
9,San Jose,34,8,14,12,32,40,-8,38,1.12,"19,930",Chris Wondolowski - 12,David Bingham,
10,Dynamo,34,7,13,14,39,45,-6,34,1,"19,597","Andrew Wenger, Mauro Manotas - 6",Joe Willis,
