Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,NYCFC,34,18,10,6,63,42,21,64,1.88,58.7,47.1,11.6,0.34,"21,107",Héber - 15,Sean Johnson,→ Conference Semifinals
2,Atlanta Utd,34,18,4,12,58,43,15,58,1.71,61.8,48.8,13,0.38,"52,510",Josef Martínez - 27,Brad Guzan,→ Round 1
3,Philadelphia,34,16,7,11,58,50,8,55,1.62,57.4,48.1,9.3,0.27,"17,111",Kacper Przybyłko - 15,Andre Blake,→ Round 1
4,Toronto FC,34,13,11,10,57,52,5,50,1.47,52.8,53.9,-1.1,-0.03,"25,048",Alejandro Pozuelo - 12,Quentin Westberg,→ Round 1
5,D.C. United,34,13,11,10,42,38,4,50,1.47,43.6,52,-8.5,-0.25,"17,744",Wayne Rooney - 11,Bill Hamid,→ Round 1
6,NY Red Bulls,34,14,6,14,53,51,2,48,1.41,50.7,55.5,-4.7,-0.14,"17,751",Daniel Royer - 11,Luis Robles,→ Round 1
7,New England,34,11,12,11,50,57,-7,45,1.32,57.5,65.3,-7.8,-0.23,"16,737",Carles Gil - 10,Matt Turner,→ Round 1
8,Chicago Fire,34,10,12,12,55,47,8,42,1.24,62.1,48.8,13.3,0.39,"12,324",C.J. Sapong - 13,Kenneth Kronholm,
9,Montreal Impact,34,12,5,17,47,60,-13,41,1.21,47.6,55.5,-7.9,-0.23,"16,171",Saphir Taïder - 9,Evan Bush,
10,Columbus Crew,34,10,8,16,39,47,-8,38,1.12,43.6,48,-4.4,-0.13,"14,856",Gyasi Zardes - 13,Zack Steffen,
11,Orlando City,34,9,10,15,44,52,-8,37,1.09,49.6,48.7,0.9,0.03,"22,761",Nani - 12,Brian Rowe,
12,FC Cincinnati,34,6,6,22,31,75,-44,24,0.71,37.7,63.8,-26.1,-0.77,"27,336",Allan Cruz - 7,Spencer Richey,
1,Los Angeles FC,34,21,9,4,85,37,48,72,2.12,80,39.3,40.7,1.2,"22,251",Carlos Vela - 34,Tyler Miller,→ Conference Semifinals
2,Seattle,34,16,8,10,52,49,3,56,1.65,50,51.5,-1.5,-0.04,"40,247",Raúl Ruidíaz - 11,Stefan Frei,→ Round 1
3,Real Salt Lake,34,16,5,13,46,41,5,53,1.56,41.3,45,-3.6,-0.11,"18,121",Albert Rusnák - 10,Nick Rimando,→ Round 1
4,Minnesota Utd,34,15,8,11,52,43,9,53,1.56,56.2,49.6,6.6,0.19,"19,723",Darwin Quintero - 10,Vito Mannone,→ Round 1
5,LA Galaxy,34,16,3,15,58,59,-1,51,1.5,60.1,63.6,-3.4,-0.1,"23,205",Zlatan Ibrahimović - 30,David Bingham,→ Round 1
6,Portland Timbers,34,14,7,13,52,49,3,49,1.44,56.2,57.9,-1.8,-0.05,"25,218","Brian Fernández, Jeremy Ebobisse - 11",Steve Clark,→ Round 1
7,FC Dallas,34,13,9,12,54,46,8,48,1.41,50.8,48.2,2.6,0.08,"14,842",Jesús Ferreira - 8,Jesse Gonzalez,→ Round 1
8,San Jose,34,13,5,16,52,55,-3,44,1.29,57.4,54.5,2.9,0.09,"18,781",Chris Wondolowski - 15,Mario Daniel Vega,
9,Colorado Rapids,34,12,6,16,58,63,-5,42,1.24,58,64.5,-6.5,-0.19,"14,284",Kei Kamara - 14,Tim Howard,
10,Dynamo,34,12,4,18,49,59,-10,40,1.18,52.7,55.5,-2.8,-0.08,"15,674",Mauro Manotas - 13,Joe Willis,
11,Sporting KC,34,10,8,16,49,67,-18,38,1.12,61.5,53.8,7.7,0.23,"18,601",Felipe Gutiérrez - 12,Tim Melia,
12,Vancouver,34,8,10,16,37,59,-22,34,1,36.4,65,-28.6,-0.84,"19,514",Fredy Montero - 8,Maxime Crépeau,
