Rk,Team,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28
1,Los Angeles Clippers,$168378382,$199618760,$201872990,$148079728,$20482758,,
2,Golden State Warriors,$178980766,$196914190,$211685897,$148977903,$125348403,$65464286,
3,Milwaukee Bucks,$160875421,$189554017,$156679413,$112176005,$79586167,,
4,Boston Celtics,$136557646,$188309002,$163100916,$120909897,$71995974,,
5,Dallas Mavericks,$126696965,$178751606,$108671031,$94252163,$56999660,$48967380,
6,Phoenix Suns,$136476474,$177017682,$165602967,$175429147,$155194023,$57124200,$61063800
7,Los Angeles Lakers,$164409293,$176771244,$127212036,$100859025,,,
8,Denver Nuggets,$137963926,$166664217,$168687600,$168659596,$124856778,$98962150,$61908000
9,Brooklyn Nets,$174811922,$165325654,$145554223,$86592682,$40278480,,
10,Oklahoma City Thunder,$82022873,$161215815,$99032051,$101135018,$92388970,$65691372,
11,Philadelphia 76ers,$148922969,$159678581,$164159456,$66209363,$54404000,$58156000,
12,Toronto Raptors,$134896484,$157848655,$144104331,$42889250,,,
13,Washington Wizards,$128019790,$156335482,$148672960,$80695778,$76986270,$57128610,
14,New Orleans Pelicans,$135793968,$156249429,$157375200,$129942505,$77234375,$41540000,$44220000
15,Atlanta Hawks,$135166020,$155979447,$169265314,$128910716,$104703628,$73878094,
16,Cleveland Cavaliers,$136385911,$155863322,$126968445,$117588652,$102580076,$41540000,$44220000
17,Utah Jazz,$149760719,$155400005,$93702683,$43470744,$30237463,,
18,Chicago Bulls,$136083814,$153293137,$122259970,$79920112,$51398778,$48967380,
19,Miami Heat,$140840240,$152567917,$173127647,$141644117,$144843431,$33000000,
20,New York Knicks,$120644081,$152468722,$164306088,$118023452,$95082304,$29616071,
21,Minnesota Timberwolves,$137432702,$151360728,$144140750,$97629325,$106601506,$57124200,$61063800
22,Portland Trail Blazers,$124788473,$148610431,$112963169,$116220313,$121516797,$71246860,$268032
23,Sacramento Kings,$130457848,$144158560,$107475393,$79816114,$66231784,,
24,Houston Rockets,$132267085,$140957128,$68984207,$69836767,$40653257,$18239000,
25,Indiana Pacers,$138181486,$137034889,$95252116,$65596614,$11375024,,
26,Orlando Magic,$126786646,$136633986,$106940331,$59725976,$28372468,,
27,Memphis Grizzlies,$117284457,$134351866,$137938753,$126434316,$90933288,$60205000,$44220000
28,Charlotte Hornets,$122139566,$133117376,$88247936,$51904934,$43787013,,
29,Detroit Pistons,$131120355,$131963459,$97490229,$60854406,$16590307,,
30,San Antonio Spurs,$127655401,$106960542,$84257979,$45562240,$36784592,$17500000,
