rank,team,payroll,season,MP,W,D,L,GF,GA,GD,Pts,average_payroll,relative_payroll,,,,,,,,,,,,,
8,Atalanta,"46,350,000",2022,38,16,11,11,65,48,17,59,"58,841,500",0.787709355,,,,,,,,,,,,,
13,Bologna,"30,130,000",2022,38,12,10,16,44,55,-11,46,"58,841,500",0.512053568,,,,,,,,,,,,,
18,Cagliari,"33,760,000",2022,38,6,12,20,34,68,-34,30,"58,841,500",0.573744721,,,,,,,,,,,,,
14,Empoli,"36,930,000",2022,38,10,11,17,50,70,-20,41,"58,841,500",0.627618263,,,,,,,,,,,,,
7,Fiorentina,"58,700,000",2022,38,19,5,14,59,51,8,62,"58,841,500",0.997595235,,,,,,,,,,,,,
19,Genoa,"42,300,000",2022,38,4,16,18,27,60,-33,28,"58,841,500",0.718880382,,,,,,,,,,,,,
9,Hellas,"21,490,000",2022,38,14,11,13,65,59,6,53,"58,841,500",0.365218426,,,,,,,,,,,,,
2,Inter,"153,440,000",2022,38,25,9,4,84,32,52,84,"58,841,500",2.607683353,,,,,,,,,,,,,
4,Juventus,"180,950,000",2022,38,20,10,8,57,37,20,70,"58,841,500",3.075210523,,,,,,,,,,,,,
5,Lazio,"78,440,000",2022,38,18,10,10,77,58,19,64,"58,841,500",1.333072746,,,,,,,,,,,,,
1,Milan,"87,590,000",2022,38,26,8,4,69,31,38,86,"58,841,500",1.48857524,,,,,,,,,,,,,
3,Napoli,"103,440,000",2022,38,24,7,7,74,31,43,79,"58,841,500",1.757942948,,,,,,,,,,,,,
6,Roma,"99,550,000",2022,38,18,9,11,59,43,16,63,"58,841,500",1.691833145,,,,,,,,,,,,,
17,Salernitana,"23,050,000",2022,38,7,10,21,33,78,-45,31,"58,841,500",0.391730326,,,,,,,,,,,,,
15,Sampdoria,"37,500,000",2022,38,10,6,22,46,63,-17,36,"58,841,500",0.637305303,,,,,,,,,,,,,
11,Sassuolo,"27,760,000",2022,38,13,11,14,64,66,-2,50,"58,841,500",0.471775872,,,,,,,,,,,,,
16,Spezia,"16,560,000",2022,38,10,6,22,41,71,-30,36,"58,841,500",0.281434022,,,,,,,,,,,,,
10,Torino,"53,550,000",2022,38,13,11,14,46,41,5,50,"58,841,500",0.910071973,,,,,,,,,,,,,
12,Udinese,"22,410,000",2022,38,11,14,13,61,58,3,47,"58,841,500",0.380853649,,,,,,,,,,,,,
20,Venezia,"22,930,000",2022,38,6,9,23,34,69,-35,27,"58,841,500",0.389690949,,,,,,,,,,,,,
3,Atalanta,"44,170,000",2021,38,23,9,6,90,47,43,78,"63,177,500",0.699141308,,,,,,,,,,,,,
18,Benevento,"32,410,000",2021,38,7,12,19,40,75,-35,33,"63,177,500",0.51299909,,,,,,,,,,,,,
12,Bologna,"35,810,000",2021,38,10,11,17,51,65,-14,41,"63,177,500",0.566815718,,,,,,,,,,,,,
