RANK,TEAM,ACTIVE CASH,GUARD CASH,FORWARD CASH,CENTER CASH,DEAD CASH,TOTAL CASH
1,Washington Mystics,"496,000",0,0,0,0,"$496,000"
2,Los Angeles Sparks,"377,952",0,0,0,0,"$377,952"
3,Phoenix Mercury,"356,608",0,0,"111,000",0,"$356,608"
4,Minnesota Lynx,"150,450",0,0,"109,000",0,"$150,450"
5,Connecticut Sun,"113,500",0,0,0,0,"$113,500"
6,Dallas Wings,"113,500",0,0,0,0,"$113,500"
7,Seattle Storm,"113,500",0,0,0,0,"$113,500"
8,Chicago Sky,"111,000",0,0,0,0,"$111,000"
9,Atlanta Dream,"47,738",0,0,0,0,"$47,738"
10,Indiana Fever,"40,000",0,0,0,0,"$40,000"
