Rk,team,# Pl,payroll,average_payroll,relative_payroll,season,rank,team,MP,W,D,L,GF,GA,GD,,,,,,,
1,Ajaccio,38,"9,201,000","20,012,100",0.460,2014,20,Ajaccio,38,4,11,23,37,72,-35,,,,,,,
2,Bastia,35,"13,706,000","20,012,100",0.685,2014,10,Club Crest Bastia,38,13,10,15,42,56,-14,,,,,,,
3,Bordeaux,38,"14,307,000","20,012,100",0.715,2014,7,Club Crest Bordeaux,38,13,14,11,49,43,6,,,,,,,
4,Evian,35,"10,927,000","20,012,100",0.546,2014,14,Club Crest Evian,38,11,11,16,39,51,-12,,,,,,,
5,Guingamp,30,"6,719,000","20,012,100",0.336,2014,16,Club Crest Guingamp,38,11,9,18,34,42,-8,,,,,,,
6,Lille,32,"19,408,000","20,012,100",0.970,2014,3,Club Crest Lille,38,20,11,7,46,26,20,,,,,,,
7,Lorient,38,"11,844,000","20,012,100",0.592,2014,8,Club Crest Lorient,38,13,10,15,48,53,-5,,,,,,,
8,Lyon,36,"26,370,000","20,012,100",1.318,2014,5,Club Crest Lyon,38,17,10,11,56,44,12,,,,,,,
9,Marseille,36,"34,154,000","20,012,100",1.707,2014,6,Club Crest Marseille,38,16,12,10,53,40,13,,,,,,,
10,Monaco,45,"48,803,000","20,012,100",2.439,2014,2,Club Crest Monaco,38,23,11,4,63,31,32,,,,,,,
11,Montpellier,31,"12,987,000","20,012,100",0.649,2014,15,Club Crest Montpellier,38,8,18,12,45,53,-8,,,,,,,
12,Nantes,34,"11,968,000","20,012,100",0.598,2014,13,Club Crest Nantes,38,12,10,16,38,43,-5,,,,,,,
13,Nice,42,"11,167,000","20,012,100",0.558,2014,17,Club Crest Nice,38,12,6,20,30,44,-14,,,,,,,
14,Paris S-G,33,"84,319,000","20,012,100",4.213,2014,1,Club Crest Paris S-G,38,27,8,3,84,23,61,,,,,,,
15,Reims,35,"11,128,000","20,012,100",0.556,2014,11,Club Crest Reims,38,12,12,14,44,52,-8,,,,,,,
16,Rennes,39,"18,071,000","20,012,100",0.903,2014,12,Club Crest Rennes,38,11,13,14,47,45,2,,,,,,,
17,Saint-Étienne,34,"18,749,000","20,012,100",0.937,2014,4,Club Crest Saint-Étienne,38,20,9,9,56,34,22,,,,,,,
18,Sochaux,44,"13,354,000","20,012,100",0.667,2014,18,Club Crest Sochaux,38,10,10,18,37,61,-24,,,,,,,
19,Toulouse,39,"14,410,000","20,012,100",0.720,2014,9,Club Crest Toulouse,38,12,13,13,46,53,-7,,,,,,,
20,Valenciennes,34,"8,650,000","20,012,100",0.432,2014,19,Club Crest Valenciennes,38,7,8,23,37,65,-28,,,,,,,
1,Bastia,41,"10,581,000","16,609,650",0.637,2015,12,Club Crest Bastia,38,12,11,15,37,46,-9,,,,,,,
2,Bordeaux,39,"15,997,000","16,609,650",0.963,2015,6,Club Crest Bordeaux,38,17,12,9,47,44,3,,,,,,,
3,Caen,27,"5,180,000","16,609,650",0.312,2015,13,Club Crest Caen,38,12,10,16,54,55,-1,,,,,,,
4,Evian,33,"11,426,000","16,609,650",0.688,2015,18,Club Crest Evian,38,11,4,23,41,62,-21,,,,,,,
5,Guingamp,31,"11,664,000","16,609,650",0.702,2015,10,Club Crest Guingamp,38,15,4,19,41,55,-14,,,,,,,
6,Lens,29,"4,590,000","16,609,650",0.276,2015,20,Club Crest Lens,38,7,8,23,32,61,-29,,,,,,,
7,Lille,31,"15,389,000","16,609,650",0.927,2015,8,Club Crest Lille,38,16,8,14,43,42,1,,,,,,,
8,Lorient,39,"10,339,000","16,609,650",0.622,2015,16,Club Crest Lorient,38,12,7,19,44,50,-6,,,,,,,
9,Lyon,31,"26,722,000","16,609,650",1.609,2015,2,Club Crest Lyon,38,22,9,7,72,33,39,,,,,,,
10,Marseille,34,"20,686,000","16,609,650",1.245,2015,4,Club Crest Marseille,38,21,6,11,76,42,34,,,,,,,
11,Metz,32,"7,997,000","16,609,650",0.481,2015,19,Club Crest Metz,38,7,9,22,31,61,-30,,,,,,,
12,Monaco,33,"25,991,000","16,609,650",1.565,2015,3,Club Crest Monaco,38,20,11,7,51,26,25,,,,,,,
13,Montpellier,36,"12,787,000","16,609,650",0.770,2015,7,Club Crest Montpellier,38,16,8,14,46,39,7,,,,,,,
14,Nantes,30,"8,867,000","16,609,650",0.534,2015,14,Club Crest Nantes,38,11,12,15,29,40,-11,,,,,,,
15,Nice,37,"9,313,000","16,609,650",0.561,2015,11,Club Crest Nice,38,13,9,16,44,53,-9,,,,,,,
16,Paris S-G,32,"85,621,000","16,609,650",5.155,2015,1,Club Crest Paris S-G,38,24,11,3,83,36,47,,,,,,,
17,Reims,32,"9,971,000","16,609,650",0.600,2015,15,Club Crest Reims,38,12,8,18,47,66,-19,,,,,,,
18,Rennes,30,"14,765,000","16,609,650",0.889,2015,9,Club Crest Rennes,38,13,11,14,35,42,-7,,,,,,,
19,Saint-Étienne,31,"13,426,000","16,609,650",0.808,2015,5,Club Crest Saint-Étienne,38,19,12,7,51,30,21,,,,,,,
20,Toulouse,37,"10,881,000","16,609,650",0.655,2015,17,Club Crest Toulouse,38,12,6,20,43,64,-21,,,,,,,
1,Angers,34,"7,531,000","19,154,000",0.393,2016,9,Club Crest Angers,38,13,11,14,40,38,2,,,,,,,
2,Bastia,31,"8,796,000","19,154,000",0.459,2016,10,Club Crest Bastia,38,14,8,16,36,42,-6,,,,,,,
3,Bordeaux,42,"19,810,000","19,154,000",1.034,2016,11,Club Crest Bordeaux,38,12,14,12,50,57,-7,,,,,,,
4,Caen,30,"10,537,000","19,154,000",0.550,2016,7,Club Crest Caen,38,16,6,16,39,52,-13,,,,,,,
5,Gazélec Ajaccio,30,"6,163,000","19,154,000",0.322,2016,19,Club Crest Gazélec Ajaccio,38,8,13,17,37,58,-21,,,,,,,
6,Guingamp,31,"8,021,000","19,154,000",0.419,2016,16,Club Crest Guingamp,38,11,11,16,47,56,-9,,,,,,,
7,Lille,34,"19,602,000","19,154,000",1.023,2016,5,Club Crest Lille,38,15,15,8,39,27,12,,,,,,,
8,Lorient,35,"11,105,000","19,154,000",0.580,2016,15,Club Crest Lorient,38,11,13,14,47,58,-11,,,,,,,
9,Lyon,33,"34,558,000","19,154,000",1.804,2016,2,Club Crest Lyon,38,19,8,11,67,43,24,,,,,,,
10,Marseille,38,"26,752,000","19,154,000",1.397,2016,13,Club Crest Marseille,38,10,18,10,48,42,6,,,,,,,
11,Monaco,39,"31,362,000","19,154,000",1.637,2016,3,Club Crest Monaco,38,17,14,7,57,50,7,,,,,,,
